sensor,segment,timestamp,actual,pred,p10,p90
6879,history,2026-02-23 20:00:00,1620.0,,,
6879,history,2026-02-23 21:00:00,1152.0,,,
6879,history,2026-02-23 22:00:00,696.0,,,
6879,history,2026-02-23 23:00:00,321.0,,,
6879,history,2026-02-24 00:00:00,126.0,,,
6879,history,2026-02-24 01:00:00,117.0,,,
6879,history,2026-02-24 02:00:00,66.0,,,
6879,history,2026-02-24 03:00:00,36.0,,,
6879,history,2026-02-24 04:00:00,30.0,,,
6879,history,2026-02-24 05:00:00,42.0,,,
6879,history,2026-02-24 06:00:00,78.0,,,
6879,history,2026-02-24 07:00:00,345.0,,,
6879,history,2026-02-24 08:00:00,1950.0,,,
6879,history,2026-02-24 09:00:00,2313.0,,,
6879,history,2026-02-24 10:00:00,1404.0,,,
6879,history,2026-02-24 11:00:00,1341.0,,,
6879,history,2026-02-24 12:00:00,1323.0,,,
6879,history,2026-02-24 13:00:00,1704.0,,,
6879,history,2026-02-24 14:00:00,1860.0,,,
6879,history,2026-02-24 15:00:00,1866.0,,,
6879,history,2026-02-24 16:00:00,1719.0,,,
6879,history,2026-02-24 17:00:00,1932.0,,,
6879,history,2026-02-24 18:00:00,2202.0,,,
6879,history,2026-02-24 19:00:00,1674.0,,,
6879,history,2026-02-24 20:00:00,1518.0,,,
6879,history,2026-02-24 21:00:00,1413.0,,,
6879,history,2026-02-24 22:00:00,792.0,,,
6879,history,2026-02-24 23:00:00,618.0,,,
6879,forecast,2026-02-25 00:00:00,264.0,222.0,119.0,310.0
6879,forecast,2026-02-25 01:00:00,93.0,110.5,46.25,180.0
6879,forecast,2026-02-25 02:00:00,111.0,83.0,8.25,154.0
6879,forecast,2026-02-25 03:00:00,78.0,55.5,-11.125,128.0
6879,forecast,2026-02-25 04:00:00,21.0,46.25,-20.875,128.0
6879,forecast,2026-02-25 05:00:00,48.0,65.0,-40.5,189.0
6879,forecast,2026-02-25 06:00:00,153.0,197.0,36.75,676.0
6879,forecast,2026-02-25 07:00:00,1011.0,1088.0,460.0,1920.0
6879,forecast,2026-02-25 08:00:00,2514.0,2240.0,1528.0,2752.0
6879,forecast,2026-02-25 09:00:00,1785.0,2144.0,1704.0,2544.0
6879,forecast,2026-02-25 10:00:00,1083.0,1448.0,1208.0,1688.0
6879,forecast,2026-02-25 11:00:00,1200.0,1352.0,1176.0,1552.0
6879,forecast,2026-02-25 12:00:00,1410.0,1416.0,1256.0,1600.0
6879,forecast,2026-02-25 13:00:00,1599.0,1664.0,1480.0,1832.0
6879,forecast,2026-02-25 14:00:00,2109.0,2000.0,1808.0,2208.0
6879,forecast,2026-02-25 15:00:00,2124.0,2048.0,1840.0,2272.0
6879,forecast,2026-02-25 16:00:00,1893.0,1736.0,1560.0,1928.0
6879,forecast,2026-02-25 17:00:00,1893.0,1888.0,1672.0,2160.0
6879,forecast,2026-02-25 18:00:00,2064.0,2064.0,1816.0,2352.0
6879,forecast,2026-02-25 19:00:00,1776.0,1768.0,1480.0,2064.0
6879,forecast,2026-02-25 20:00:00,1761.0,1624.0,1392.0,1864.0
6879,forecast,2026-02-25 21:00:00,1464.0,1256.0,1096.0,1456.0
6879,forecast,2026-02-25 22:00:00,774.0,792.0,660.0,932.0
6879,forecast,2026-02-25 23:00:00,354.0,502.0,408.0,620.0
6879,forecast,2026-02-26 00:00:00,306.0,258.0,197.0,344.0
6879,forecast,2026-02-26 01:00:00,150.0,172.0,110.5,226.0
6879,forecast,2026-02-26 02:00:00,132.0,137.0,92.0,206.0
6879,forecast,2026-02-26 03:00:00,60.0,101.5,36.75,163.0
6879,forecast,2026-02-26 04:00:00,42.0,83.0,8.25,163.0
6879,forecast,2026-02-26 05:00:00,66.0,92.0,-20.875,226.0
6879,forecast,2026-02-26 06:00:00,252.0,239.0,36.75,676.0
6879,forecast,2026-02-26 07:00:00,1425.0,1040.0,364.0,1848.0
6879,forecast,2026-02-26 08:00:00,2403.0,2096.0,1512.0,2528.0
6879,forecast,2026-02-26 09:00:00,1638.0,1968.0,1576.0,2352.0
6879,forecast,2026-02-26 10:00:00,1569.0,1416.0,1192.0,1656.0
6879,forecast,2026-02-26 11:00:00,1404.0,1368.0,1208.0,1552.0
6879,forecast,2026-02-26 12:00:00,1542.0,1448.0,1320.0,1608.0
6879,forecast,2026-02-26 13:00:00,1602.0,1688.0,1528.0,1840.0
6879,forecast,2026-02-26 14:00:00,1908.0,2032.0,1848.0,2224.0
6879,forecast,2026-02-26 15:00:00,2088.0,2064.0,1848.0,2256.0
6879,forecast,2026-02-26 16:00:00,1878.0,1808.0,1624.0,1992.0
6879,forecast,2026-02-26 17:00:00,1761.0,1928.0,1712.0,2128.0
6879,forecast,2026-02-26 18:00:00,2265.0,2024.0,1776.0,2288.0
6879,forecast,2026-02-26 19:00:00,1974.0,1768.0,1536.0,2024.0
6879,forecast,2026-02-26 20:00:00,1746.0,1608.0,1368.0,1840.0
6879,forecast,2026-02-26 21:00:00,1536.0,1296.0,1112.0,1504.0
6879,forecast,2026-02-26 22:00:00,831.0,848.0,712.0,988.0
6879,forecast,2026-02-26 23:00:00,567.0,616.0,524.0,716.0
6879,forecast,2026-02-27 00:00:00,285.0,318.0,226.0,440.0
6879,forecast,2026-02-27 01:00:00,345.0,197.0,128.0,274.0
6879,forecast,2026-02-27 02:00:00,108.0,146.0,74.0,222.0
6879,forecast,2026-02-27 03:00:00,75.0,110.5,46.25,197.0
